date,value_liters,value_gallons,device_id,fetched_at
2026-02-24,238.0457,62.885,7067331749175058954,2026-03-03T20:24:11Z
2026-02-25,271.1642,71.634,7067331749175058954,2026-03-03T20:24:11Z
2026-02-26,82.9115,21.9029,7067331749175058954,2026-03-03T20:24:11Z
2026-02-27,283.3658,74.8573,7067331749175058954,2026-03-03T20:24:11Z
2026-02-28,383.6423,101.3476,7067331749175058954,2026-03-03T20:24:11Z
2026-03-01,84.5559,22.3373,7067331749175058954,2026-03-03T20:24:11Z
2026-03-02,59.4292,15.6995,7067331749175058954,2026-03-03T20:24:11Z
2026-03-14,55.7786,14.7351,7067331749175058954,2026-03-21T13:02:06Z
2026-03-15,55.4168,14.6396,7067331749175058954,2026-03-21T13:02:06Z
2026-03-16,20.917,5.5257,7067331749175058954,2026-03-21T13:02:06Z
2026-03-17,31.7043,8.3754,7067331749175058954,2026-03-21T13:02:06Z
2026-03-18,9.9652,2.6325,7067331749175058954,2026-03-21T13:02:06Z
2026-03-19,44.3663,11.7203,7067331749175058954,2026-03-21T13:02:06Z
2026-03-20,166.2176,43.91,7067331749175058954,2026-03-21T13:02:06Z
